model_id,arm,cycle,state_index,state,occupancy
A,HPE,35,6,Unresolved ulcer,8.897708615238267e-05
A,HPE,35,7,Serious GI event,0.00023054271416239448
A,HPE,35,8,Unresolved serious GI event,3.401708641410939e-05
A,HPE,35,9,Post-event,0.7527184927487495
A,HPE,35,10,Dead,0.19929547689561258
A,HPE,36,1,Well no HPE,0.0
A,HPE,36,2,Well with HPE,0.0019180593022789414
A,HPE,36,3,GI discomfort,0.03862334244431058
A,HPE,36,4,Unresolved GI discomfort,0.0056982455124325185
A,HPE,36,5,Symptomatic ulcer,0.000596890862107111
A,HPE,36,6,Unresolved ulcer,8.809146452792693e-05
A,HPE,36,7,Serious GI event,0.0002283914800057996
A,HPE,36,8,Unresolved serious GI event,3.369386794041195e-05
A,HPE,36,9,Post-event,0.7467985874134531
A,HPE,36,10,Dead,0.20601469765294145
A,HPE,37,1,Well no HPE,0.0
A,HPE,37,2,Well with HPE,0.0016082436896235062
A,HPE,37,3,GI discomfort,0.03826700281403126
A,HPE,37,4,Unresolved GI discomfort,0.005644809919341986
A,HPE,37,5,Symptomatic ulcer,0.0005912136480087736
A,HPE,37,6,Unresolved ulcer,8.72357296379752e-05
A,HPE,37,7,Serious GI event,0.00022629331022459983
A,HPE,37,8,Unresolved serious GI event,3.337946459938876e-05
A,HPE,37,9,Post-event,0.7408643755393725
A,HPE,37,10,Dead,0.21267744588515777
A,HPE,38,1,Well no HPE,0.0
A,HPE,38,2,Well with HPE,0.0013484712188725038
A,HPE,38,3,GI discomfort,0.03791886306370908
A,HPE,38,4,Unresolved GI discomfort,0.005592730804683393
A,HPE,38,5,Symptomatic ulcer,0.0005856920909133729
A,HPE,38,6,Unresolved ulcer,8.640600355969158e-05
A,HPE,38,7,Serious GI event,0.0002242421039789577
A,HPE,38,8,Unresolved serious GI event,3.307281662839927e-05
A,HPE,38,9,Post-event,0.7349263115796554
A,HPE,38,10,Dead,0.21928421031799689
A,HPE,39,1,Well no HPE,0.0
A,HPE,39,2,Well with HPE,0.0011306586432514977
A,HPE,39,3,GI discomfort,0.03757801286300332
A,HPE,39,4,Unresolved GI discomfort,0.0055418501042683675
A,HPE,39,5,Symptomatic ulcer,0.0005803074367344999
A,HPE,39,6,Unresolved ulcer,8.559902678632528e-05
A,HPE,39,7,Serious GI event,0.0002222327251415869
A,HPE,39,8,Unresolved serious GI event,3.2773032388371064e-05
A,HPE,39,9,Post-event,0.7289930929938242
A,HPE,39,10,Dead,0.22583547317459943
A,HPE,40,1,Well no HPE,0.0009480283669889639
A,HPE,40,2,Well with HPE,0.0
A,HPE,40,3,GI discomfort,0.037243685448011675
A,HPE,40,4,Unresolved GI discomfort,0.0054920347731191345
A,HPE,40,5,Symptomatic ulcer,0.0005750439070447399
A,HPE,40,6,Unresolved ulcer,8.481205840405866e-05
A,HPE,40,7,Serious GI event,0.00022026084664594816
A,HPE,40,8,Unresolved serious GI event,3.24793612331814e-05
A,HPE,40,9,Post-event,0.7230719446205343
A,HPE,40,10,Dead,0.23233171061801558
A,No HPE,0,1,Well no HPE,1.0
A,No HPE,0,2,Well with HPE,0.0
A,No HPE,0,3,GI discomfort,0.0
A,No HPE,0,4,Unresolved GI discomfort,0.0
A,No HPE,0,5,Symptomatic ulcer,0.0
A,No HPE,0,6,Unresolved ulcer,0.0
A,No HPE,0,7,Serious GI event,0.0
A,No HPE,0,8,Unresolved serious GI event,0.0
A,No HPE,0,9,Post-event,0.0
A,No HPE,0,10,Dead,0.0
A,No HPE,1,1,Well no HPE,0.9433685141994637
A,No HPE,1,2,Well with HPE,0.0
A,No HPE,1,3,GI discomfort,0.05085721911620075
A,No HPE,1,4,Unresolved GI discomfort,0.0
A,No HPE,1,5,Symptomatic ulcer,0.0007844827288323197
A,No HPE,1,6,Unresolved ulcer,0.0
A,No HPE,1,7,Serious GI event,0.00030081167198279054
A,No HPE,1,8,Unresolved serious GI event,0.0
A,No HPE,1,9,Post-event,0.0
A,No HPE,1,10,Dead,0.004688972283520387
A,No HPE,2,1,Well no HPE,0.8899441535829037
A,No HPE,2,2,Well with HPE,0.0
A,No HPE,2,3,GI discomfort,0.04797709923396686
A,No HPE,2,4,Unresolved GI discomfort,0.00743279366230944
A,No HPE,2,5,Symptomatic ulcer,0.0007400563063136861
A,No HPE,2,6,Unresolved ulcer,0.00011465232186080396
A,No HPE,2,7,Serious GI event,0.00028377626005226153
A,No HPE,2,8,Unresolved serious GI event,4.39636914467104e-05
A,No HPE,2,9,Post-event,0.04405533346974783
A,No HPE,2,10,Dead,0.009408171471398562
A,No HPE,3,1,Well no HPE,0.8395452938860032
A,No HPE,3,2,Well with HPE,0.0
A,No HPE,3,3,GI discomfort,0.04750061656745581
A,No HPE,3,4,Unresolved GI discomfort,0.007011863513564046
A,No HPE,3,5,Symptomatic ulcer,0.0007327064663310509
A,No HPE,3,6,Unresolved ulcer,0.0001081593905233453
A,No HPE,3,7,Serious GI event,0.0002809579473313768
A,No HPE,3,8,Unresolved serious GI event,4.147396227880686e-05
A,No HPE,3,9,Post-event,0.09066901172714871
A,No HPE,3,10,Dead,0.014109916539363474
A,No HPE,4,1,Well no HPE,0.7920005964963909
A,No HPE,4,2,Well with HPE,0.0
A,No HPE,4,3,GI discomfort,0.0473081127655926
A,No HPE,4,4,Unresolved GI discomfort,0.006942225467965216
A,No HPE,4,5,Symptomatic ulcer,0.0007297370568662667
A,No HPE,4,6,Unresolved ulcer,0.0001070852098073864
A,No HPE,4,7,Serious GI event,0.00027981932057380275
A,No HPE,4,8,Unresolved serious GI event,4.106206526016855e-05
A,No HPE,4,9,Post-event,0.13380266770553143
A,No HPE,4,10,Dead,0.018788693912011958
A,No HPE,5,1,Well no HPE,0.7471484259618892
A,No HPE,5,2,Well with HPE,0.0
A,No HPE,5,3,GI discomfort,0.047083779466011055
A,No HPE,5,4,Unresolved GI discomfort,0.006914090995351012
A,No HPE,5,5,Symptomatic ulcer,0.000726276671062993
A,No HPE,5,6,Unresolved ulcer,0.00010665122996668334
A,No HPE,5,7,Serious GI event,0.0002784924278317054
A,No HPE,5,8,Unresolved serious GI event,4.089565471129258e-05
A,No HPE,5,9,Post-event,0.17425612409799496
A,No HPE,5,10,Dead,0.023445263495180703
A,No HPE,6,1,Well no HPE,0.7048363004861354
A,No HPE,6,2,Well with HPE,0.0
A,No HPE,6,3,GI discomfort,0.04686007309705989
A,No HPE,6,4,Unresolved GI discomfort,0.00688130463470544
A,No HPE,6,5,Symptomatic ulcer,0.0007228259557894936
A,No HPE,6,6,Unresolved ulcer,0.00010614549382706172
A,No HPE,6,7,Serious GI event,0.0002771692432760646
A,No HPE,6,8,Unresolved serious GI event,4.070172904773062e-05
A,No HPE,6,9,Post-event,0.21219574000753758
A,No HPE,6,10,Dead,0.028079739352620876
A,No HPE,7,1,Well no HPE,0.6649203735434522
A,No HPE,7,2,Well with HPE,0.0
A,No HPE,7,3,GI discomfort,0.04663769941996341
A,No HPE,7,4,Unresolved GI discomfort,0.006848609900108187
A,No HPE,7,5,Symptomatic ulcer,0.0007193957975531468
A,No HPE,7,6,Unresolved ulcer,0.00010564117103747509
A,No HPE,7,7,Serious GI event,0.00027585394136269185
A,No HPE,7,8,Unresolved serious GI event,4.050834533642778e-05
A,No HPE,7,9,Post-event,0.24775969693227173
A,No HPE,7,10,Dead,0.032692220948914115
A,No HPE,8,1,Well no HPE,0.6272649448506389
A,No HPE,8,2,Well with HPE,0.0
A,No HPE,8,3,GI discomfort,0.04641637032717344
A,No HPE,8,4,Unresolved GI discomfort,0.006816109938716067
A,No HPE,8,5,Symptomatic ulcer,0.0007159817522376698
A,No HPE,8,6,Unresolved ulcer,0.0001051398526633504
A,No HPE,8,7,Serious GI event,0.0002745448179851736
A,No HPE,8,8,Unresolved serious GI event,4.031611367501107e-05
A,No HPE,8,9,Post-event,0.28108377947006996
